modelo,n_colunas,acuracia
GradientBoostingClassifier,10,0.7863559291993573
GradientBoostingClassifier,25,0.803007351467517
GradientBoostingClassifier,50,0.8100860493350317
GradientBoostingClassifier,150,0.813973923813907
LGBMClassifier,10,0.78437535996409
LGBMClassifier,25,0.804547804070545
LGBMClassifier,50,0.8209424694414701
LGBMClassifier,150,0.8349165256188541
LogisticRegression,10,0.7793507092035102
LogisticRegression,25,0.7990830124648945
LogisticRegression,50,0.8136437858963292
LogisticRegression,150,0.8326425533663713
SVC,10,0.7862092922582992
SVC,25,0.8057948657627726
SVC,50,0.8187051634863275
SVC,150,0.8299651186725737
